Voltage,Current,Power ,Reactive Power
1826.021285,143.6955775,1197.061363,-1.16E-08
1828.89992,143.7178118,1197.360908,-1.21E-08
1831.798486,143.7390608,1197.656772,-3.43E-09
1834.710984,143.7623247,1197.940248,-1.06E-08
1837.606078,143.7835308,1198.252471,6.72E-10
1840.528444,143.8066662,1198.536737,9.56E-09
1843.456201,143.8285138,1198.839487,-2.57E-09
1846.406915,143.8505059,1199.133901,-1.70E-08
1849.350229,143.8704034,1199.448908,-1.82E-08
1852.311482,143.8939935,1199.73153,-1.56E-08
1855.279756,143.9139254,1200.045777,-3.53E-09
1858.250859,143.9358241,1200.345618,3.50E-09
1861.248037,143.9575,1200.642662,5.11E-09
1864.227596,143.9806377,1200.937574,-2.17E-08
1867.252317,144.0023165,1201.226788,-1.23E-08
1870.251556,144.0229541,1201.545345,-9.08E-09
1873.268284,144.0450558,1201.846397,1.29E-08
1876.313553,144.0661829,1202.139915,1.95E-09
1879.357425,144.0880972,1202.443734,1.44E-10
1882.415621,144.1113231,1202.727483,-1.08E-09
1885.479122,144.1325837,1203.032171,2.43E-08
1888.549818,144.1546921,1203.324787,1.59E-08
1891.647518,144.1753347,1203.633122,-1.40E-08
1894.729812,144.1969099,1203.938838,-8.78E-09
1897.818577,144.2200358,1204.229762,1.60E-08
1900.931401,144.2413841,1204.535292,3.12E-09
1904.043599,144.2623708,1204.847685,-2.21E-09
1907.18939,144.2849358,1205.131077,-9.47E-09
1910.32946,144.306021,1205.440203,-2.45E-08
1913.48709,144.328004,1205.733723,-1.14E-09
1916.67158,144.3479498,1206.0462,-1.53E-08
1919.823942,144.3700328,1206.346605,9.37E-09
1923.010645,144.3927099,1206.638772,-2.76E-08
1926.219935,144.4125053,1206.953405,-1.02E-08
1929.424597,144.4344587,1207.248149,1.09E-09
1932.642877,144.4557875,1207.54997,3.35E-09
1935.848333,144.4782389,1207.84814,-7.11E-09
1939.07713,144.4996265,1208.156307,-4.83E-09
1942.363195,144.5198002,1208.457031,-2.27E-08
1945.593873,144.542442,1208.760526,3.81E-09
1948.861087,144.5642048,1209.055525,1.98E-08
1952.152215,144.584029,1209.370216,4.03E-09
1955.439649,144.6055504,1209.672818,1.68E-08
1958.742399,144.6278171,1209.960492,6.79E-09
1962.060653,144.6495674,1210.262268,-3.96E-09
1965.368621,144.6703324,1210.58003,4.32E-09
1968.714121,144.6909397,1210.887041,-1.25E-08
1972.061712,144.7122778,1211.189674,-5.82E-09
1975.426789,144.7348496,1211.472692,2.36E-08
1978.805104,144.755545,1211.776543,1.53E-08
