Type,Voltage Self Open,Voltage Neigh Open,Current Self Open,Current Neigh Open,Power Self Open,Power Neigh Open,Reactive Power Self Open,Reactive Power Neigh Open,Sample
Closed,2124.210532,1826.021285,2.122668711,143.6955775,247.7014715,1197.061363,-3.05E+02,-1.16E-08,1
Closed,2127.132191,1828.89992,2.12014309,143.7178118,245.52385,1197.360908,-3.06E+02,-1.21E-08,2
Closed,2130.076816,1831.798486,2.117952633,143.7390608,242.7874836,1197.656772,-3.08E+02,-3.43E-09,3
Closed,2133.035478,1834.710984,2.115847231,143.7623247,240.0261496,1197.940248,-3.10E+02,-1.06E-08,4
Closed,2135.972186,1837.606078,2.113976105,143.7835308,237.4468486,1198.252471,-3.11E+02,6.72E-10,5
Closed,2138.942094,1840.528444,2.112289791,143.8066662,235.1332731,1198.536737,-3.13E+02,9.56E-09,6
Closed,2141.912705,1843.456201,2.110794924,143.8285138,232.6953968,1198.839487,-3.14E+02,-2.57E-09,7
Closed,2144.909868,1846.406915,2.109544504,143.8505059,229.9467915,1199.133901,-3.16E+02,-1.70E-08,8
Closed,2147.897848,1849.350229,2.108502755,143.8704034,227.4534919,1199.448908,-3.17E+02,-1.82E-08,9
Closed,2150.903389,1852.311482,2.107611668,143.8939935,224.7303876,1199.73153,-3.19E+02,-1.56E-08,10
Closed,2153.915508,1855.279756,2.107019585,143.9139254,222.354037,1200.045777,-3.20E+02,-3.53E-09,11
Closed,2156.93047,1858.250859,2.106635592,143.9358241,219.9902297,1200.345618,-3.22E+02,3.50E-09,12
Closed,2159.973199,1861.248037,2.106419236,143.9575,217.1679571,1200.642662,-3.23E+02,5.11E-09,13
Closed,2162.994317,1864.227596,2.10640024,143.9806377,214.8759025,1200.937574,-3.25E+02,-2.17E-08,14
Closed,2166.066476,1867.252317,2.106608012,144.0023165,212.4195644,1201.226788,-3.26E+02,-1.23E-08,15
Closed,2169.108309,1870.251556,2.107134855,144.0229541,209.6280896,1201.545345,-3.28E+02,-9.08E-09,16
Closed,2172.16865,1873.268284,2.10773784,144.0450558,207.2482342,1201.846397,-3.29E+02,1.29E-08,17
Closed,2175.260075,1876.313553,2.108694349,144.0661829,204.5487325,1202.139915,-3.31E+02,1.95E-09,18
Closed,2178.34678,1879.357425,2.109798106,144.0880972,202.20493,1202.443734,-3.32E+02,1.44E-10,19
Closed,2181.450061,1882.415621,2.111129431,144.1113231,199.6080772,1202.727483,-3.34E+02,-1.08E-09,20
Closed,2184.558279,1885.479122,2.112737352,144.1325837,196.9484231,1203.032171,-3.35E+02,2.43E-08,21
Closed,2187.670918,1888.549818,2.114577446,144.1546921,194.451564,1203.324787,-3.37E+02,1.59E-08,22
Closed,2190.813656,1891.647518,2.116653946,144.1753347,192.0335484,1203.633122,-3.38E+02,-1.40E-08,23
Closed,2193.939556,1894.729812,2.118939551,144.1969099,189.4669175,1203.938838,-3.40E+02,-8.78E-09,24
Closed,2197.07096,1897.818577,2.121360133,144.2200358,186.9128557,1204.229762,-3.41E+02,1.60E-08,25
Closed,2200.225307,1900.931401,2.124187865,144.2413841,184.2876588,1204.535292,-3.43E+02,3.12E-09,26
Closed,2203.381316,1904.043599,2.127195166,144.2623708,181.6220186,1204.847685,-3.44E+02,-2.21E-09,27
Closed,2206.572011,1907.18939,2.130425125,144.2849358,179.4451238,1205.131077,-3.46E+02,-9.47E-09,28
Closed,2209.753161,1910.32946,2.133913561,144.306021,176.9197559,1205.440203,-3.47E+02,-2.45E-08,29
Closed,2212.956427,1913.48709,2.137635847,144.328004,174.0634851,1205.733723,-3.49E+02,-1.14E-09,30
Closed,2216.185493,1916.67158,2.141601719,144.3479498,171.6941898,1206.0462,-3.50E+02,-1.53E-08,31
Closed,2219.377907,1919.823942,2.145806698,144.3700328,169.2304584,1206.346605,-3.52E+02,9.37E-09,32
Closed,2222.609045,1923.010645,2.150192414,144.3927099,166.6859825,1206.638772,-3.53E+02,-2.76E-08,33
