CB Status,R,V,I,P,Q,VPU,IPU,PPU,QPU,Voltage PU,Current PU,Power PU,Reactive PU
TIE 10 TIE 21,1,14671.66748,24.81658463,1133180.561,-279451.4222,1.467166748,1.240829231,11.33180561,-2.794514222,10000,20,100000,100000
TIE 10 TIE 21,1,14595.75076,24.92445732,1144875.387,-277759.8475,1.459575076,1.246222866,11.44875387,-2.777598475,10000,20,100000,100000
TIE 10 TIE 21,1,14766.10615,24.44324714,1096437.292,-347936.1965,1.476610615,1.222162357,10.96437292,-3.479361965,10000,20,100000,100000
TIE 10 TIE 21,1,14630.09352,24.23752199,1106900.498,-292063.6933,1.463009352,1.2118761,11.06900498,-2.920636933,10000,20,100000,100000
TIE 10 TIE 21,1,14677.55653,25.11646229,1143252.096,-293242.1682,1.467755653,1.255823115,11.43252096,-2.932421682,10000,20,100000,100000
TIE 10 TIE 21,1,14671.93544,25.31658608,1152871.869,-291461.5929,1.467193544,1.265829304,11.52871869,-2.914615929,10000,20,100000,100000
TIE 10 TIE 21,1,14689.99514,24.10829065,1099185.361,-302648.3339,1.468999514,1.205414532,10.99185361,-3.026483339,10000,20,100000,100000
TIE 10 TIE 21,1,14637.70398,25.0465156,1146184.427,-262836.5126,1.463770398,1.25232578,11.46184427,-2.628365126,10000,20,100000,100000
TIE 10 TIE 21,1,14637.56866,24.40281566,1117571.261,-257321.551,1.463756866,1.220140783,11.17571261,-2.57321551,10000,20,100000,100000
TIE 10 TIE 21,1,14514.11231,25.59826801,1183146.77,-232319.8466,1.451411231,1.2799134,11.8314677,-2.323198466,10000,20,100000,100000
TIE 10 TIE 21,1,14570.32589,25.09615204,1156621.624,-242964.9447,1.457032589,1.254807602,11.56621624,-2.429649447,10000,20,100000,100000
TIE 10 TIE 21,1,14651.19971,24.36757749,1116382.994,-275469.8898,1.465119971,1.218378874,11.16382994,-2.754698898,10000,20,100000,100000
TIE 10 TIE 21,1,14682.30575,24.68457482,1127803.637,-281156.7542,1.468230575,1.234228741,11.27803637,-2.811567542,10000,20,100000,100000
TIE 10 TIE 21,1,14683.58557,24.23479251,1106993.94,-265391.0555,1.468358557,1.211739626,11.0699394,-2.653910555,10000,20,100000,100000
TIE 10 TIE 21,1,14615.05218,24.82476034,1135186.113,-261067.2013,1.461505218,1.241238017,11.35186113,-2.610672013,10000,20,100000,100000
TIE 10 TIE 21,1,14639.11864,25.10793334,1149766.842,-257497.7979,1.463911864,1.255396667,11.49766842,-2.574977979,10000,20,100000,100000
TIE 10 TIE 21,1,14663.18292,24.82101986,1131296.481,-308339.6147,1.466318292,1.241050993,11.31296481,-3.083396147,10000,20,100000,100000
TIE 10 TIE 21,1,14609.99171,25.38079243,1158017.245,-303196.8643,1.460999171,1.269039621,11.58017245,-3.031968643,10000,20,100000,100000
TIE 10 TIE 21,1,14662.00816,25.24462502,1149414.988,-289466.6482,1.466200816,1.262231251,11.49414988,-2.894666482,10000,20,100000,100000
TIE 10 TIE 21,1,14962.84844,17.00353971,777730.9358,-252947.7501,1.496284844,0.850176985,7.777309358,-2.529477501,10000,20,100000,100000
TIE 10 TIE 21,1,14989.23161,16.98829834,774797.3432,-278525.1384,1.498923161,0.849414917,7.747973432,-2.785251384,10000,20,100000,100000
TIE 10 TIE 21,1,14947.32946,17.04836424,779331.0822,-275493.3608,1.494732946,0.852418212,7.793310822,-2.754933608,10000,20,100000,100000
TIE 10 TIE 21,1,14945.48474,17.25816147,795225.115,-254883.2683,1.494548474,0.862908073,7.95225115,-2.548832683,10000,20,100000,100000
TIE 10 TIE 21,1,15023.60498,16.38926278,739135.6488,-286579.2847,1.502360498,0.819463139,7.391356488,-2.865792847,10000,20,100000,100000
TIE 10 TIE 21,1,14923.85626,16.41676939,753342.1092,-265586.2631,1.492385626,0.820838469,7.533421092,-2.655862631,10000,20,100000,100000
TIE 10 TIE 21,1,14964.65721,16.84699118,771696.8952,-253479.4642,1.496465721,0.842349559,7.716968952,-2.534794642,10000,20,100000,100000
TIE 10 TIE 21,1,14906.97939,17.11578794,800416.5373,-229372.7339,1.490697939,0.855789397,8.004165373,-2.293727339,10000,20,100000,100000
TIE 10 TIE 21,1,14844.29592,17.44960118,824054.1809,-211784.9254,1.484429592,0.872480059,8.240541809,-2.117849254,10000,20,100000,100000
TIE 10 TIE 21,1,14950.35202,16.78899136,772306.4281,-249320.3109,1.495035202,0.839449568,7.723064281,-2.493203109,10000,20,100000,100000
TIE 10 TIE 21,1,14917.83363,16.99948154,788619.7159,-223962.4265,1.491783363,0.849974077,7.886197159,-2.239624265,10000,20,100000,100000
TIE 10 TIE 21,1,14960.93582,16.59535167,761501.7279,-249670.4059,1.496093582,0.829767584,7.615017279,-2.496704059,10000,20,100000,100000
TIE 10 TIE 21,1,14841.87209,17.46383239,820228.4683,-217537.7038,1.484187209,0.873191619,8.202284683,-2.175377038,10000,20,100000,100000
TIE 10 TIE 21,1,14957.75476,16.95038379,781169.9121,-255709.6181,1.495775476,0.84751919,7.811699121,-2.557096181,10000,20,100000,100000
TIE 10 TIE 21,1,14935.97141,16.97028789,784763.045,-238899.0125,1.493597141,0.848514394,7.84763045,-2.388990125,10000,20,100000,100000
TIE 10 TIE 21,1,14989.99221,16.78281222,761692.1518,-270684.0133,1.498999221,0.839140611,7.616921518,-2.706840133,10000,20,100000,100000
TIE 10 TIE 21,1,14975.25003,16.49625433,752359.017,-276178.5412,1.497525003,0.824812717,7.52359017,-2.761785412,10000,20,100000,100000
TIE 10 TIE 21,1,15014.49302,16.52170492,751106.0204,-287941.9336,1.501449302,0.826085246,7.511060204,-2.879419336,10000,20,100000,100000
TIE 10 TIE 21,1,14965.38322,17.06250355,783972.429,-263795.8117,1.496538322,0.853125178,7.83972429,-2.637958117,10000,20,100000,100000
TIE 10 TIE 21,1,15026.30887,16.77448937,754790.7305,-294534.6731,1.502630887,0.838724468,7.547907305,-2.945346731,10000,20,100000,100000
TIE 10 TIE 21,1,14947.205,16.62306973,763015.7182,-261151.9784,1.4947205,0.831153486,7.630157182,-2.611519784,10000,20,100000,100000
TIE 10 TIE 21,1,14910.55083,17.06904481,795824.2413,-226417.6071,1.491055083,0.85345224,7.958242413,-2.264176071,10000,20,100000,100000
TIE 10 TIE 21,1,14977.81505,16.45731457,758054.2119,-255520.8519,1.497781505,0.822865728,7.580542119,-2.555208519,10000,20,100000,100000
TIE 10 TIE 21,1,14954.96081,16.8675633,772172.94,-280695.485,1.495496081,0.843378165,7.7217294,-2.80695485,10000,20,100000,100000
TIE 10 TIE 21,1,14945.07906,16.89020716,777300.7921,-244978.196,1.494507906,0.844510358,7.773007921,-2.44978196,10000,20,100000,100000
TIE 10 TIE 21,1,14945.22994,16.65385977,769085.991,-232890.9085,1.494522994,0.832692989,7.69085991,-2.328909085,10000,20,100000,100000
TIE 10 TIE 21,1,14908.97766,17.08717052,796994.5119,-229362.6409,1.490897766,0.854358526,7.969945119,-2.293626409,10000,20,100000,100000
TIE 10 TIE 21,1,14892.24839,16.89707612,794081.2049,-203646.1217,1.489224839,0.844853806,7.940812049,-2.036461217,10000,20,100000,100000
TIE 10 TIE 21,1,14910.27363,16.77886775,785887.9733,-213038.5909,1.491027363,0.838943387,7.858879733,-2.130385909,10000,20,100000,100000
TIE 10 TIE 21,1,14875.35918,17.47864587,818610.1139,-205863.4873,1.487535918,0.873932293,8.186101139,-2.058634873,10000,20,100000,100000
TIE 10 TIE 21,1,14967.31256,16.59410335,760660.3607,-251441.5935,1.496731256,0.829705167,7.606603607,-2.514415935,10000,20,100000,100000
TIE 10 TIE 21,1,14866.35132,17.59725481,825971.8007,-201263.0061,1.486635132,0.87986274,8.259718007,-2.012630061,10000,20,100000,100000
TIE 10 TIE 21,1,14864.20695,16.85683043,794885.8436,-221131.556,1.486420695,0.842841521,7.948858436,-2.21131556,10000,20,100000,100000
TIE 10 TIE 21,1,14972.64231,16.85973137,772779.2675,-266812.2476,1.497264231,0.842986568,7.727792675,-2.668122476,10000,20,100000,100000
TIE 10 TIE 21,1,14967.03586,16.60778468,755224.3502,-282013.6209,1.496703586,0.830389234,7.552243502,-2.820136209,10000,20,100000,100000
